Country,Value
Australia,7.3
Austria,7.0
Belgium,6.9
Canada,7.3
Czech Republic,6.6
Denmark,7.5
Finland,7.5
France,6.4
Germany,7.0
Greece,5.2
Hungary,5.3
Iceland,7.5
Ireland,7.0
Italy,5.9
Japan,5.9
Korea,5.9
Luxembourg,6.9
Mexico,6.6
Netherlands,7.4
New Zealand,7.3
Norway,7.5
Poland,6.0
Portugal,5.2
Slovak Republic,6.1
Spain,6.4
Sweden,7.3
Switzerland,7.5
Turkey,5.5
United Kingdom,6.7
United States,6.9
Brazil,6.6
Chile,6.7
Estonia,5.6
Israel,7.2
Latvia,5.9
Russia,6.0
Slovenia,5.8
South Africa,4.8
OECD - Total,6.5
